OTU	Test-Statistic	P	FDR_P	Bonferroni_P	2017_mean	2016_mean	2018_mean	taxonomy
235985	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
755581	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
304212	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
1136344	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__; s__
4381827	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
815498	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__
812655	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Acidobacteria; c__; o__; f__; g__; s__
4365229	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
813548	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__
357366	38.0	5.60279643754e-09	1.4232533334e-08	2.66244886712e-05	0.0	1.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__
521164	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__AKIW874; g__; s__
241193	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
593511	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__
557938	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__; s__
561844	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Iamiaceae; g__; s__
4314949	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
236596	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.25	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
220676	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	11.5	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__
167937	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.0	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
1116398	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
811968	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	4.25	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
578882	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__; s__
566708	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__SC-I-84; f__; g__; s__
3334374	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.5	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
